Trade_Date,RUN_TYPE,CURRENCY_FLAG,DELIVERY_DATE,DELIVERY_HOUR,DELIVERY_INTERVAL,SYSTEM_LOAD,SMP,SHADOW_PRICE,EA-SYSTEM_LOAD,EA-SMP,EA-SHADOW_PRICE,SEMO-WIND-FORECAST_MW,Eirgrid-WIND,Eirgrid-WIND-FORECAST,Eirgrid_outages_weekly_perc_available_capacity,Eirgrid_outages_weekly_available_capacity,SEMOgenbids_total_daily_supply,SEMOgenbids_supply-below-40euro,SEMOgenbids_supply-below-50euro,SEMOgenbids_supply-below-60euro,SEMOgenbids_supply-below-70euro,SEMOgenbids_supply-below-80euro, avg_monthly_per_halfhour_EP2_SMP, localavgsmpD=7
01/01/2011,EP2,EUR,01/01/11,7,1,2871.86,49.48,49.48,3156.36,49.48,49.48,63.45,97,89.75,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,34.1583870968,55.7142857143
01/01/2011,EP2,EUR,01/01/11,7,2,2868.01,49.48,49.48,3173.91,49.48,49.48,73.82,110.5,92.75,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,34.2693548387,56.4142857143
01/01/2011,EP2,EUR,01/01/11,8,1,2872.43,49.48,49.48,3229.8,49.48,49.48,82.67,85.5,95,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,37.19,57.4471428571
01/01/2011,EP2,EUR,01/01/11,8,2,2868.76,49.48,49.48,3265.84,49.48,49.48,83.29,60.5,95,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,38.7664516129,110.801428571
01/01/2011,EP2,EUR,01/01/11,9,1,2793.13,47.45,47.45,3236.72,49.48,49.48,86.21,107.5,95.63,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,41.5619354839,82.6271428571
01/01/2011,EP2,EUR,01/01/11,9,2,2785.14,47.45,47.45,3220.09,49.48,49.48,86.03,139,98.13,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,40.1951612903,77.2171428571
01/01/2011,EP2,EUR,01/01/11,10,1,2899.51,49.48,49.48,3326.54,50.04,50.04,87.1,135,100,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,43.7661290323,98.5971428571
01/01/2011,EP2,EUR,01/01/11,10,2,3060.34,49.48,49.48,3498.58,51.13,51.13,86.84,144,100,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,47.7216129032,108.595714286
01/01/2011,EP2,EUR,01/01/11,11,1,3283.91,51.13,51.13,3682.42,51.13,51.13,94.28,130.5,100,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,49.0125806452,91.4471428571
01/01/2011,EP2,EUR,01/01/11,11,2,3492.77,51.13,51.13,3836.3,51.13,51.13,94.43,123.5,100,91.43,6261,17832.75,4027.99,6550.2,11915.2,12435.7,13671.71,49.5674193548,85.7214285714
