Trade_Date,RUN_TYPE,CURRENCY_FLAG,DELIVERY_DATE,DELIVERY_HOUR,DELIVERY_INTERVAL,SYSTEM_LOAD,SMP,SHADOW_PRICE,EA-SYSTEM_LOAD,EA-SMP,EA-SHADOW_PRICE,SEMO-WIND-FORECAST_MW,Eirgrid-WIND,Eirgrid-WIND-FORECAST,Eirgrid_outages_weekly_perc_available_capacity,Eirgrid_outages_weekly_available_capacity,SEMOgenbids_total_daily_supply,SEMOgenbids_supply-below-40euro,SEMOgenbids_supply-below-50euro,SEMOgenbids_supply-below-60euro,SEMOgenbids_supply-below-70euro,SEMOgenbids_supply-below-80euro, avg_monthly_per_halfhour_EP2_SMP, localavgsmpD=7
01/01/2010,EP2,EUR,01/01/10,19,2,5120.01,81.68,44.34,5044.46,63.08,37.61,32.13,66.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,90.344516129,65.1357142857
01/01/2010,EP2,EUR,01/01/10,20,1,5049.12,81.68,44.34,5001.02,63.66,37.63,39.03,72,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,82.9138709677,60.03
01/01/2010,EP2,EUR,01/01/10,20,2,4944.48,81.68,44.34,4903.71,57.84,37.61,41.11,74.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,79.4377419355,58.18
01/01/2010,EP2,EUR,01/01/10,21,1,4814.03,44.34,44.34,4813.79,54.21,37.58,42.69,89,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,71.8735483871,47.6971428571
01/01/2010,EP2,EUR,01/01/10,21,2,4709.43,43.88,43.88,4684.94,46.26,37.63,45.84,84,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,70.4796774194,47.5942857143
01/01/2010,EP2,EUR,01/01/10,22,1,4629.28,40.54,40.54,4604.21,47.07,37.63,51.38,98,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,64.9390322581,45.8228571429
01/01/2010,EP2,EUR,01/01/10,22,2,4543.8,37.58,37.58,4561.68,45.97,37.58,53.53,90.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,61.8883870968,44.4828571429
01/01/2010,EP2,EUR,01/01/10,23,1,4391.75,37.58,37.58,4382.6,43.56,37.27,56.55,78.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,57.1970967742,37.0142857143
01/01/2010,EP2,EUR,01/01/10,23,2,4290.17,31.16,31.16,4221.49,40.83,35.13,60.54,67.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,54.7525806452,36.72
01/01/2010,EP2,EUR,01/01/10,24,1,4350.36,44,44,4199.99,46.88,39.41,68.26,58.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,59.435483871,43.5428571429
01/01/2010,EP2,EUR,01/01/10,24,2,4245.84,37.58,37.58,4233.12,46.36,37.63,76.15,53,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,54.2222580645,36.7385714286
01/01/2010,EP2,EUR,02/01/10,1,1,4092.51,37.58,37.58,4225.19,47.03,37.63,85.97,61.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,52.3893548387,33.4085714286
01/01/2010,EP2,EUR,02/01/10,1,2,3857.77,32.15,32.15,4006.16,38.54,32.87,92.23,65.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,51.3438709677,30.8671428571
01/01/2010,EP2,EUR,02/01/10,2,1,3680.46,42.32,42.31,3816.22,36.71,31.04,105.39,70,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,50.0325806452,30.5142857143
01/01/2010,EP2,EUR,02/01/10,2,2,3520.23,31.04,31.04,3653.18,31.04,31.04,112.5,94.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,48.7041935484,30.5071428571
01/01/2010,EP2,EUR,02/01/10,3,1,3403.27,31.04,31.04,3512.95,31.04,31.04,127.46,94.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,47.034516129,30.4071428571
01/01/2010,EP2,EUR,02/01/10,3,2,3279.94,31.04,31.04,3359.12,30.96,30.96,134.5,94.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,46.2619354839,29.5342857143
01/01/2010,EP2,EUR,02/01/10,4,1,3174.76,31.04,31.04,3248.29,30.96,30.96,144.64,107.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,45.3512903226,29.2485714286
01/01/2010,EP2,EUR,02/01/10,4,2,3127.13,30.93,30.93,3161.54,30.96,30.96,151.63,119,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,45.1609677419,28.7614285714
01/01/2010,EP2,EUR,02/01/10,5,1,3042.47,29.35,29.35,3122.63,30.93,30.93,163.18,162,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,44.6325806452,28.9871428571
01/01/2010,EP2,EUR,02/01/10,5,2,2972.2,29.35,29.35,3062.26,30.93,30.93,171.01,167.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,44.2348387097,28.6871428571
01/01/2010,EP2,EUR,02/01/10,6,1,2984,31.04,31.04,3040.05,30.96,30.96,196.13,187,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,45.6593548387,29.3342857143
01/01/2010,EP2,EUR,02/01/10,6,2,2983.44,30.93,30.93,3028.15,30.96,30.96,207.01,170.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,45.8922580645,29.6942857143
02/01/2010,EP2,EUR,02/01/10,7,1,2995.6,29.28,29.28,3176.68,31.48,31.48,68.48,171.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,46.185483871,29.7628571429
02/01/2010,EP2,EUR,02/01/10,7,2,3018.5,29.28,29.28,3248.31,31.48,31.48,75.08,200,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,47.355483871,30.5028571429
02/01/2010,EP2,EUR,02/01/10,8,1,3142.75,29.28,29.28,3337.32,28.22,28.22,84.05,180,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,50.68,30.23
02/01/2010,EP2,EUR,02/01/10,8,2,3250.23,29.28,29.28,3438.96,31.48,31.48,90.39,163.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,55.0722580645,30.2128571429
02/01/2010,EP2,EUR,02/01/10,9,1,3261.73,29.28,29.28,3472.4,31.48,31.48,98.57,158.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,58.8716129032,32.3071428571
02/01/2010,EP2,EUR,02/01/10,9,2,3330.56,29.28,29.28,3570.9,31.48,31.48,104.43,120.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,56.9609677419,32.38
02/01/2010,EP2,EUR,02/01/10,10,1,3620.18,31.48,31.48,3751.2,31.48,31.48,112.37,136,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,60.3429032258,37.3671428571
02/01/2010,EP2,EUR,02/01/10,10,2,3912.9,35.33,35.33,4012.93,31.52,31.52,109.12,112,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,65.4616129032,38.41
02/01/2010,EP2,EUR,02/01/10,11,1,4134.37,35.33,35.33,4221.77,31.52,31.52,99.49,107,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,64.5019354839,40.2528571429
